user_id,idade,matches_realizados,taxa_resposta,tenis_marca,tenis_estilo,tenis_cores,relacionamentos_formados
1,27,18,0.7030944661679305,Nike,Corrida,Branco,0
2,24,15,0.5623128901552706,Nike,Corrida,Azul,0
3,28,10,0.8234878199950858,Asics,Casual,Branco,0
4,32,16,0.7539262778448875,Asics,Tênis,Branco,0
5,23,16,0.7056384917589004,Asics,Tênis,Azul,1
6,23,13,0.1444844173443685,Puma,Casual,Preto,1
7,32,9,0.10550236977571946,Nike,Tênis,Branco,0
8,28,4,0.2699578217563784,Nike,Corrida,Branco,0
9,22,14,0.6308188751307618,Asics,Tênis,Azul,0
10,27,16,0.4289579911060367,Nike,Casual,Azul,1
11,22,19,0.4219250074394494,Nike,Corrida,Azul,0
12,22,11,0.807669510583691,Adidas,Casual,Azul,0
13,26,17,0.816450278505471,Nike,Basquete,Azul,1
14,15,7,0.8273402112428686,Adidas,Corrida,Vermelho,0
15,16,17,0.3511024612120218,Nike,Corrida,Azul,1
16,22,13,0.6528446501914094,Puma,Tênis,Preto,0
17,19,15,0.31730654501949573,Asics,Corrida,Branco,0
18,26,14,0.25248786645955984,Adidas,Casual,Preto,1
19,20,15,0.2477059658778954,Asics,Tênis,Preto,0
20,17,8,0.37368609669087527,Adidas,Basquete,Vermelho,0
21,32,12,0.4439660958238574,Adidas,Casual,Azul,0
22,23,20,0.7647593368440547,Adidas,Basquete,Branco,0
23,25,11,0.19591287477816968,Puma,Basquete,Preto,0
24,17,17,0.6879406779159154,Nike,Basquete,Azul,0
25,22,16,0.5251639313514443,Adidas,Corrida,Azul,0
26,25,11,0.330356274140794,Puma,Casual,Vermelho,0
27,19,8,0.4942556676262597,Adidas,Casual,Vermelho,1
28,26,12,0.33995365582161813,Nike,Corrida,Vermelho,1
29,21,20,0.5768655641906448,Adidas,Tênis,Branco,0
30,23,18,0.44707513828419543,Puma,Basquete,Preto,0
31,21,13,0.231524423263103,Nike,Casual,Vermelho,0
32,34,20,0.19326645964455738,Puma,Corrida,Vermelho,0
33,24,14,0.5373565456577042,Nike,Basquete,Vermelho,1
34,19,15,0.8219304266288828,Nike,Tênis,Preto,1
35,29,21,0.37516614924614844,Asics,Tênis,Preto,0
36,18,12,0.6864000857780985,Asics,Basquete,Vermelho,0
37,26,21,0.6269290839518136,Asics,Tênis,Vermelho,0
38,15,16,0.8452439314475848,Nike,Casual,Azul,0
39,18,18,0.7567848138393127,Adidas,Casual,Vermelho,0
40,25,11,0.5532842071243704,Puma,Casual,Branco,1
41,28,27,0.6256243985872858,Puma,Tênis,Branco,1
42,25,20,0.8187091732672279,Puma,Casual,Vermelho,0
43,24,12,0.41961502766954784,Asics,Corrida,Preto,0
44,23,14,0.36143576468622196,Nike,Casual,Azul,1
45,17,13,0.10864886690815707,Asics,Casual,Preto,0
46,21,10,0.7612408593531714,Adidas,Tênis,Vermelho,0
47,22,26,0.7407845603226919,Nike,Casual,Branco,0
48,30,17,0.18356361448012112,Puma,Basquete,Azul,1
49,26,18,0.5614859049061602,Asics,Corrida,Preto,0
50,16,26,0.47118535853350996,Asics,Tênis,Preto,0
51,26,12,0.19496727640728917,Adidas,Corrida,Vermelho,1
52,23,11,0.8844545816485788,Adidas,Basquete,Azul,1
53,21,13,0.27175670997068435,Asics,Tênis,Branco,1
54,28,14,0.15378734407244893,Adidas,Tênis,Vermelho,0
55,30,16,0.5758779036015277,Puma,Casual,Azul,0
56,29,11,0.6910933417064261,Adidas,Corrida,Preto,1
57,20,17,0.1259547568377496,Adidas,Basquete,Vermelho,1
58,23,16,0.6269741109816177,Asics,Basquete,Preto,0
59,26,11,0.5258335007611635,Asics,Tênis,Preto,0
60,29,12,0.18261200710003875,Nike,Casual,Vermelho,1
61,22,5,0.23801910155708966,Nike,Tênis,Vermelho,1
62,24,14,0.5543794378528645,Asics,Tênis,Vermelho,0
63,19,13,0.3370860908106307,Adidas,Tênis,Vermelho,0
64,19,5,0.8506525829210528,Adidas,Tênis,Vermelho,0
65,29,14,0.7549921835872406,Nike,Basquete,Preto,0
66,31,15,0.8868537652109304,Nike,Basquete,Branco,0
67,24,10,0.3077366711603312,Nike,Tênis,Branco,0
68,30,13,0.8757789062383816,Puma,Tênis,Vermelho,0
69,26,11,0.44498709583324636,Puma,Casual,Preto,0
70,21,26,0.37801503625100374,Nike,Tênis,Branco,0
71,26,17,0.1402796215754826,Adidas,Basquete,Branco,1
72,32,20,0.1422122062876821,Nike,Corrida,Branco,0
73,24,17,0.6536090047573238,Puma,Basquete,Preto,0
74,32,23,0.46634319554722237,Adidas,Casual,Vermelho,1
75,11,15,0.2812173008288846,Puma,Basquete,Vermelho,0
76,29,20,0.5911762450601862,Adidas,Corrida,Vermelho,1
77,25,17,0.30228649460008894,Puma,Tênis,Azul,1
78,23,11,0.5621054034755381,Adidas,Corrida,Azul,0
79,25,14,0.38736699758615234,Adidas,Tênis,Azul,1
80,15,9,0.7588417812894552,Adidas,Tênis,Preto,0
81,23,16,0.7565569286134235,Adidas,Basquete,Branco,0
82,26,20,0.4818803184979211,Asics,Basquete,Branco,0
83,32,13,0.38065528746801247,Puma,Basquete,Preto,0
84,22,19,0.39004783724727565,Puma,Casual,Preto,1
85,20,19,0.7445716205345744,Asics,Basquete,Vermelho,0
86,22,15,0.3625435862380896,Adidas,Casual,Vermelho,0
87,29,13,0.26724749896547684,Adidas,Basquete,Azul,0
88,26,14,0.16775067350024547,Puma,Tênis,Azul,0
89,22,14,0.4733544967075267,Asics,Casual,Preto,0
90,27,12,0.4857056791358735,Adidas,Corrida,Azul,0
91,25,12,0.7727269683223258,Adidas,Casual,Branco,1
92,29,16,0.2769909571568512,Adidas,Casual,Preto,0
93,21,16,0.40479301893472,Nike,Corrida,Preto,1
94,23,14,0.7467245911149528,Asics,Casual,Branco,0
95,23,15,0.7588988885991789,Adidas,Tênis,Vermelho,1
96,17,14,0.4076888607830146,Nike,Basquete,Vermelho,1
97,26,16,0.46729921862934476,Asics,Corrida,Branco,0
98,26,16,0.34262871267942635,Adidas,Basquete,Branco,0
99,25,19,0.8460439027354497,Puma,Tênis,Azul,1
100,23,24,0.19491501259326427,Nike,Corrida,Preto,0
101,17,11,0.846999538401176,Nike,Basquete,Azul,1
102,22,13,0.6470931614682746,Adidas,Basquete,Branco,0
103,23,15,0.5252577221493849,Adidas,Tênis,Azul,0
104,20,12,0.12612724862759672,Nike,Basquete,Branco,0
105,24,19,0.48047695345760666,Puma,Tênis,Azul,1
106,27,13,0.42619848400218585,Puma,Casual,Azul,0
107,34,18,0.22897504958009807,Asics,Tênis,Vermelho,1
108,25,14,0.6251276828005256,Adidas,Casual,Branco,1
109,26,11,0.8769207258946287,Puma,Corrida,Azul,0
110,24,11,0.5497510488516201,Asics,Basquete,Preto,0
111,15,17,0.6718026211551567,Puma,Tênis,Azul,1
112,24,16,0.15476036205281343,Adidas,Tênis,Azul,0
113,25,25,0.43413359665359585,Asics,Basquete,Preto,1
114,37,19,0.19308678813159671,Asics,Basquete,Branco,0
115,24,24,0.5902366684292083,Asics,Corrida,Vermelho,0
116,26,12,0.8507857265713237,Puma,Corrida,Vermelho,1
117,24,16,0.6294221859773108,Adidas,Tênis,Vermelho,0
118,19,13,0.16144243865153723,Asics,Corrida,Preto,0
119,30,18,0.38373296398806633,Nike,Casual,Azul,0
120,28,19,0.5405307035526813,Adidas,Corrida,Branco,0
121,28,17,0.4225662049066018,Nike,Corrida,Azul,0
122,20,16,0.7669152083801379,Nike,Tênis,Vermelho,1
123,32,16,0.7517368037679913,Asics,Casual,Azul,0
124,17,11,0.5894648160825772,Asics,Corrida,Preto,0
125,27,16,0.3987663561061642,Puma,Casual,Preto,0
126,35,12,0.3042690990105953,Puma,Casual,Branco,0
127,20,16,0.18469945457050346,Puma,Casual,Branco,0
128,22,17,0.3839181467892433,Adidas,Basquete,Vermelho,1
129,25,14,0.4305380137661756,Puma,Basquete,Branco,1
130,22,10,0.6406583400832588,Nike,Basquete,Azul,0
131,17,18,0.6265278594380588,Puma,Basquete,Preto,0
132,25,12,0.15608651171300558,Asics,Tênis,Preto,0
133,19,11,0.4162074523449263,Puma,Corrida,Preto,0
134,27,11,0.24542309377388954,Adidas,Basquete,Branco,0
135,20,8,0.22545016425344455,Adidas,Tênis,Preto,0
136,32,8,0.7618417197897968,Nike,Corrida,Preto,0
137,21,12,0.13353217337300605,Adidas,Basquete,Preto,0
138,23,20,0.4353463007216971,Puma,Corrida,Vermelho,0
139,29,15,0.23456292461321457,Asics,Basquete,Vermelho,1
140,18,13,0.8034641725427792,Adidas,Tênis,Branco,0
141,26,16,0.5456324106200281,Nike,Casual,Preto,0
142,31,15,0.28510450910147844,Puma,Casual,Branco,0
143,16,11,0.5019418297331012,Nike,Corrida,Preto,0
144,25,11,0.6851890877624927,Adidas,Tênis,Preto,1
145,26,9,0.866494407135547,Adidas,Casual,Preto,0
