style,brand,color,price,occasion,match_success
FAS,Adidas,COL,900,casual,1
FAS,Adidas,WHT,464,formal,0
VIN,Nike,BLK,294,formal,1
VIN,Nike,BLK,226,formal,1
VIN,Nike,WHT,127,sport,0
CAS,Converse,WHT,193,casual,0
CAS,Adidas,WHT,392,sport,1
ESP,Vans,BLK,412,casual,1
VIN,Nike,NEU,752,casual,1
FAS,New Balance,COL,376,formal,1
FAS,Vans,COL,827,formal,1
ESP,Adidas,NEU,514,sport,1
CAS,Vans,BLK,540,casual,1
ESP,Vans,BLK,278,casual,0
VIN,Vans,BLK,366,formal,1
SOC,Converse,BLK,451,casual,1
VIN,New Balance,WHT,116,sport,1
FAS,Adidas,NEU,271,casual,1
FAS,Converse,NEU,991,casual,0
FAS,Adidas,COL,411,sport,0
FAS,Nike,NEU,487,formal,1
ESP,Nike,COL,369,casual,0
ESP,Adidas,BLK,157,casual,1
SOC,Vans,WHT,162,casual,1
CAS,Adidas,BLK,478,casual,1
SOC,Vans,WHT,146,formal,0
ESP,Converse,BLK,556,formal,0
VIN,New Balance,BLK,701,formal,0
ESP,Adidas,COL,372,formal,1
SOC,New Balance,COL,459,casual,0
FAS,Nike,COL,469,casual,1
VIN,Nike,WHT,861,casual,1
CAS,New Balance,COL,620,sport,1
VIN,Converse,COL,801,casual,1
ESP,Nike,NEU,866,sport,1
ESP,Vans,NEU,737,sport,0
SOC,Vans,NEU,511,formal,0
SOC,New Balance,BLK,700,sport,0
VIN,Converse,COL,413,formal,0
ESP,New Balance,NEU,744,casual,1
ESP,New Balance,BLK,549,casual,0
FAS,Adidas,COL,686,formal,1
FAS,Adidas,WHT,588,casual,1
SOC,New Balance,COL,613,formal,0
CAS,Converse,BLK,373,formal,1
SOC,Adidas,NEU,855,formal,0
CAS,Converse,COL,114,casual,1
VIN,Vans,WHT,189,casual,0
VIN,Adidas,COL,111,sport,1
CAS,Nike,WHT,688,sport,0
VIN,Nike,COL,847,formal,1
ESP,Nike,NEU,878,casual,1
ESP,Nike,BLK,653,sport,1
FAS,Adidas,WHT,568,sport,1
ESP,New Balance,BLK,857,sport,0
ESP,Adidas,COL,450,casual,0
CAS,New Balance,COL,488,formal,1
ESP,New Balance,NEU,248,sport,1
SOC,Converse,WHT,997,casual,0
ESP,Nike,COL,692,formal,0
CAS,Adidas,NEU,628,casual,0
FAS,Adidas,BLK,982,formal,1
SOC,Nike,COL,761,casual,0
FAS,Adidas,NEU,640,sport,1
ESP,Vans,BLK,398,formal,1
SOC,Converse,NEU,803,formal,0
SOC,Adidas,NEU,861,casual,1
CAS,Nike,BLK,531,formal,1
CAS,New Balance,COL,481,formal,1
ESP,Vans,BLK,920,sport,1
CAS,Nike,COL,583,formal,1
FAS,Vans,NEU,972,sport,0
CAS,Nike,NEU,772,sport,0
ESP,Adidas,COL,352,formal,1
CAS,Vans,COL,853,casual,1
CAS,New Balance,NEU,173,formal,1
CAS,Converse,NEU,519,formal,1
VIN,Nike,NEU,899,sport,0
CAS,Vans,COL,522,sport,1
FAS,Adidas,COL,734,sport,1
ESP,Converse,NEU,641,sport,1
FAS,Adidas,NEU,195,casual,1
CAS,Vans,NEU,235,casual,0
FAS,Nike,WHT,767,sport,0
CAS,Nike,BLK,746,casual,0
ESP,Nike,COL,634,formal,1
ESP,Nike,COL,452,casual,1
SOC,Converse,COL,662,sport,0
FAS,Nike,COL,947,formal,1
FAS,Converse,COL,203,sport,1
ESP,Adidas,NEU,440,sport,0
CAS,Vans,NEU,137,sport,1
FAS,Nike,NEU,675,sport,1
VIN,Converse,COL,405,sport,0
SOC,New Balance,COL,245,sport,0
ESP,Adidas,BLK,986,sport,1
VIN,Adidas,BLK,754,formal,0
CAS,Adidas,WHT,976,sport,1
ESP,New Balance,COL,289,formal,1
SOC,New Balance,NEU,827,sport,0
SOC,New Balance,NEU,929,casual,0
ESP,Adidas,BLK,975,casual,1
ESP,Vans,BLK,100,sport,1
SOC,Nike,COL,763,casual,1
VIN,Nike,WHT,692,sport,1
CAS,Vans,NEU,503,casual,1
SOC,New Balance,COL,782,formal,0
CAS,Adidas,NEU,627,casual,1
FAS,Adidas,WHT,107,sport,1
CAS,Adidas,NEU,596,sport,1
FAS,Converse,WHT,496,formal,1
ESP,Converse,BLK,527,casual,1
FAS,Converse,NEU,289,casual,1
SOC,Converse,NEU,181,sport,0
ESP,Converse,WHT,102,sport,0
SOC,Adidas,BLK,170,casual,1
SOC,Nike,BLK,260,sport,1
CAS,Nike,NEU,881,casual,1
SOC,Nike,WHT,355,formal,0
CAS,Nike,WHT,253,formal,1
SOC,Nike,WHT,297,casual,1
SOC,Nike,NEU,853,formal,1
ESP,Adidas,COL,343,casual,1
CAS,Adidas,NEU,274,casual,1
CAS,Converse,COL,439,formal,1
VIN,Vans,NEU,399,sport,1
ESP,Adidas,COL,649,casual,1
CAS,Converse,NEU,115,casual,1
VIN,Converse,WHT,479,casual,0
FAS,New Balance,WHT,123,formal,0
SOC,New Balance,BLK,400,sport,1
VIN,Adidas,BLK,901,formal,1
SOC,Adidas,NEU,751,formal,0
VIN,New Balance,BLK,868,formal,0
SOC,New Balance,NEU,689,formal,1
VIN,Converse,BLK,364,formal,1
CAS,Converse,COL,987,sport,1
FAS,New Balance,WHT,385,sport,1
ESP,Converse,BLK,707,formal,1
CAS,New Balance,WHT,872,formal,1
CAS,Nike,NEU,538,formal,0
CAS,Nike,WHT,957,sport,1
CAS,Adidas,NEU,116,sport,1
ESP,Vans,BLK,305,formal,1
SOC,Vans,BLK,892,formal,0
FAS,Nike,BLK,565,sport,0
ESP,Vans,WHT,252,formal,0
FAS,Converse,COL,242,formal,0
SOC,Nike,COL,771,formal,1
FAS,Vans,COL,901,sport,1
SOC,Vans,BLK,339,sport,0
VIN,Nike,NEU,932,casual,0
VIN,New Balance,WHT,716,formal,1
VIN,Vans,NEU,899,casual,0
VIN,Adidas,NEU,136,casual,1
CAS,Adidas,COL,316,formal,1
VIN,Vans,COL,811,casual,1
CAS,New Balance,WHT,819,sport,0
ESP,Nike,BLK,890,sport,1
FAS,Adidas,BLK,264,sport,1
FAS,New Balance,WHT,115,casual,0
ESP,Vans,BLK,126,formal,0
VIN,Adidas,NEU,523,sport,1
SOC,Nike,BLK,911,sport,1
ESP,Adidas,WHT,952,casual,0
CAS,Adidas,BLK,945,formal,0
ESP,New Balance,NEU,716,formal,1
VIN,Nike,NEU,535,sport,1
SOC,Adidas,COL,992,formal,0
ESP,Converse,NEU,109,formal,0
ESP,Nike,NEU,946,formal,1
CAS,Converse,BLK,652,casual,1
SOC,Nike,BLK,742,formal,1
VIN,Vans,COL,960,casual,1
CAS,Nike,COL,850,formal,1
SOC,Converse,WHT,357,casual,1
FAS,Nike,WHT,337,casual,1
CAS,Adidas,BLK,134,formal,0
SOC,New Balance,WHT,779,formal,1
SOC,New Balance,NEU,399,formal,0
ESP,Vans,BLK,505,sport,1
SOC,Converse,NEU,227,sport,1
FAS,Nike,COL,936,formal,1
CAS,New Balance,BLK,521,casual,0
SOC,Nike,COL,820,sport,0
CAS,Vans,COL,507,casual,1
VIN,Converse,NEU,913,formal,1
FAS,Vans,WHT,481,formal,1
CAS,Nike,NEU,783,casual,1
FAS,Nike,WHT,598,sport,1
CAS,New Balance,NEU,657,sport,0
ESP,New Balance,NEU,493,formal,1
ESP,Converse,BLK,334,casual,1
FAS,Nike,NEU,773,casual,1
SOC,New Balance,NEU,512,sport,0
VIN,Vans,NEU,671,casual,1
ESP,Vans,NEU,977,sport,1
VIN,Nike,COL,637,sport,1
ESP,Adidas,WHT,201,sport,1
FAS,Vans,NEU,748,casual,0
SOC,Adidas,COL,244,formal,1
VIN,Vans,WHT,115,sport,0
CAS,New Balance,NEU,766,formal,0
FAS,Adidas,WHT,362,casual,1
SOC,Converse,COL,163,formal,1
VIN,New Balance,NEU,422,formal,1
SOC,Adidas,NEU,914,formal,0
ESP,Adidas,NEU,475,formal,1
VIN,Adidas,COL,751,formal,1
FAS,Adidas,COL,383,sport,1
VIN,New Balance,COL,428,casual,1
SOC,New Balance,NEU,582,formal,1
SOC,Adidas,WHT,373,formal,0
VIN,New Balance,COL,617,casual,0
ESP,Adidas,COL,206,formal,1
FAS,Vans,BLK,308,formal,0
CAS,Converse,BLK,761,casual,1
SOC,Vans,NEU,603,formal,1
FAS,Converse,NEU,614,sport,0
SOC,Vans,NEU,531,formal,1
FAS,New Balance,COL,266,sport,0
VIN,Vans,COL,184,formal,1
VIN,Adidas,WHT,347,formal,0
FAS,Nike,NEU,420,casual,1
SOC,New Balance,NEU,358,casual,0
ESP,Vans,NEU,405,sport,1
CAS,Nike,BLK,956,casual,1
SOC,Converse,COL,259,formal,0
SOC,New Balance,BLK,793,formal,0
SOC,Nike,NEU,652,casual,1
VIN,Vans,WHT,611,formal,1
VIN,Adidas,NEU,235,casual,0
SOC,Vans,NEU,533,casual,0
SOC,Adidas,BLK,183,casual,1
SOC,New Balance,BLK,233,formal,1
CAS,Vans,COL,550,casual,1
SOC,Converse,COL,490,sport,0
SOC,Adidas,NEU,202,formal,1
FAS,Nike,COL,936,casual,0
ESP,New Balance,COL,929,sport,0
ESP,Nike,NEU,237,formal,1
FAS,Adidas,COL,759,sport,0
ESP,New Balance,NEU,511,formal,1
SOC,Nike,WHT,572,sport,1
FAS,Converse,BLK,136,sport,1
FAS,New Balance,BLK,349,formal,0
CAS,Adidas,NEU,223,formal,0
CAS,Adidas,NEU,659,formal,1
VIN,Vans,COL,951,sport,1
CAS,Vans,WHT,522,formal,0
CAS,Adidas,BLK,527,formal,1
ESP,Nike,NEU,278,sport,0
SOC,Converse,BLK,895,formal,0
FAS,Nike,WHT,315,casual,1
CAS,Converse,NEU,312,formal,0
SOC,Adidas,COL,505,sport,0
ESP,Vans,WHT,324,formal,1
FAS,Nike,WHT,415,formal,1
FAS,Nike,NEU,955,formal,0
VIN,Adidas,COL,139,sport,1
SOC,Nike,BLK,214,casual,0
VIN,Vans,BLK,671,formal,0
ESP,Nike,BLK,301,casual,0
CAS,New Balance,NEU,797,casual,1
CAS,Adidas,NEU,205,formal,1
VIN,New Balance,WHT,288,casual,0
FAS,Converse,NEU,511,sport,1
FAS,Adidas,WHT,882,casual,1
ESP,Adidas,BLK,997,sport,1
CAS,Adidas,COL,655,formal,0
CAS,Vans,BLK,794,casual,1
VIN,Nike,BLK,294,casual,1
SOC,Nike,WHT,670,casual,1
SOC,New Balance,NEU,510,sport,1
VIN,Vans,BLK,106,formal,0
ESP,Vans,BLK,903,sport,1
ESP,Converse,NEU,250,casual,1
FAS,Vans,BLK,889,sport,0
FAS,Converse,WHT,679,casual,1
VIN,Vans,WHT,103,casual,1
ESP,New Balance,NEU,133,casual,0
ESP,Vans,NEU,383,casual,0
FAS,New Balance,WHT,585,formal,0
FAS,Adidas,COL,123,sport,1
VIN,Nike,WHT,486,casual,1
FAS,Converse,NEU,917,formal,1
SOC,Converse,NEU,919,sport,0
VIN,Adidas,BLK,124,sport,1
VIN,Adidas,COL,262,formal,0
SOC,Converse,NEU,967,casual,1
ESP,Adidas,COL,647,sport,1
ESP,Vans,NEU,792,formal,1
FAS,Nike,BLK,776,casual,1
CAS,Vans,COL,762,formal,0
FAS,Converse,COL,858,formal,0
ESP,Adidas,WHT,323,sport,1
VIN,Converse,NEU,434,formal,1
FAS,Nike,NEU,941,casual,1
FAS,Adidas,WHT,768,sport,0
ESP,New Balance,COL,135,formal,1
VIN,Nike,COL,694,formal,1
SOC,New Balance,COL,257,casual,1
ESP,Nike,WHT,850,formal,0
CAS,Vans,WHT,406,casual,0
ESP,New Balance,NEU,479,formal,0
ESP,Vans,NEU,428,formal,1
FAS,Adidas,BLK,477,casual,0
VIN,New Balance,NEU,217,sport,0
CAS,New Balance,COL,745,casual,0
SOC,Nike,NEU,128,casual,1
VIN,Nike,BLK,727,casual,0
FAS,Adidas,WHT,840,sport,0
CAS,Converse,WHT,240,sport,1
CAS,Converse,BLK,461,casual,1
CAS,Adidas,WHT,306,sport,0
SOC,Adidas,NEU,699,casual,1
FAS,New Balance,NEU,722,formal,0
VIN,New Balance,BLK,671,casual,0
VIN,Vans,WHT,814,casual,1
CAS,Nike,COL,445,formal,1
VIN,Converse,WHT,376,formal,0
VIN,Converse,NEU,610,formal,1
FAS,Converse,COL,374,formal,1
FAS,Converse,COL,640,sport,1
CAS,New Balance,BLK,949,sport,0
FAS,New Balance,BLK,596,formal,1
SOC,New Balance,COL,444,formal,1
SOC,Adidas,WHT,699,sport,0
VIN,New Balance,BLK,808,sport,0
CAS,New Balance,COL,557,sport,1
SOC,Vans,BLK,745,formal,1
VIN,Nike,BLK,106,formal,1
FAS,Adidas,NEU,336,casual,1
ESP,Nike,NEU,156,sport,1
SOC,Nike,NEU,714,casual,0
FAS,New Balance,WHT,516,formal,1
CAS,Converse,NEU,861,casual,0
SOC,Adidas,BLK,880,formal,1
SOC,Adidas,NEU,838,casual,0
VIN,Converse,BLK,389,casual,1
CAS,Adidas,COL,993,sport,0
SOC,Converse,BLK,652,casual,0
CAS,Vans,COL,713,sport,0
ESP,Adidas,BLK,803,sport,0
ESP,Vans,NEU,842,casual,1
ESP,Vans,NEU,216,sport,0
CAS,Adidas,NEU,919,formal,1
ESP,Converse,COL,364,casual,1
CAS,Nike,COL,960,formal,0
FAS,Adidas,BLK,866,sport,1
CAS,Adidas,BLK,958,casual,1
CAS,Adidas,WHT,116,formal,1
