style,brand,color,price,match_success
ESP,Vans,COL,837,0
ESP,Vans,BLK,772,0
SOC,Nike,COL,246,1
CAS,Vans,NEU,740,0
CAS,Vans,COL,582,0
ESP,Adidas,WHT,594,1
VIN,New Balance,NEU,861,1
ESP,Vans,BLK,436,0
ESP,Nike,COL,335,0
ESP,Vans,BLK,852,0
FAS,Nike,NEU,499,0
VIN,Converse,WHT,272,1
SOC,Nike,BLK,790,0
VIN,Converse,BLK,160,1
SOC,Nike,BLK,573,0
ESP,Adidas,BLK,893,0
VIN,Vans,COL,489,1
FAS,Converse,BLK,597,0
SOC,Adidas,BLK,879,0
SOC,Nike,NEU,984,1
SOC,Nike,NEU,871,1
SOC,Vans,NEU,374,0
ESP,New Balance,COL,598,1
CAS,New Balance,BLK,498,1
ESP,Nike,NEU,875,0
VIN,Vans,COL,909,0
ESP,Adidas,BLK,974,0
ESP,Adidas,NEU,375,0
SOC,New Balance,BLK,305,1
VIN,New Balance,COL,610,0
SOC,Nike,WHT,510,1
CAS,Vans,COL,298,0
CAS,Nike,COL,436,1
FAS,Converse,BLK,311,1
FAS,Nike,NEU,391,1
FAS,Adidas,BLK,264,1
ESP,Vans,BLK,827,0
SOC,New Balance,NEU,733,1
CAS,Vans,NEU,459,1
VIN,Vans,COL,321,0
CAS,Converse,BLK,309,1
VIN,Nike,COL,338,0
SOC,Vans,BLK,206,0
CAS,Adidas,WHT,103,0
SOC,Converse,WHT,939,1
CAS,New Balance,NEU,234,0
VIN,Vans,BLK,945,0
FAS,Adidas,COL,404,0
ESP,Nike,BLK,583,1
CAS,Adidas,NEU,125,1
SOC,Nike,WHT,531,1
SOC,Nike,COL,564,1
VIN,Nike,BLK,754,1
FAS,Converse,COL,159,1
ESP,Adidas,NEU,284,0
ESP,New Balance,BLK,705,1
CAS,Vans,NEU,580,0
FAS,New Balance,NEU,479,1
VIN,Converse,NEU,120,1
SOC,Converse,BLK,455,0
ESP,New Balance,BLK,664,0
CAS,Nike,BLK,870,0
VIN,New Balance,WHT,217,0
SOC,Vans,WHT,776,0
SOC,Converse,BLK,978,1
FAS,Nike,NEU,522,0
CAS,Nike,COL,817,1
VIN,Converse,NEU,773,1
VIN,Adidas,COL,830,1
SOC,Adidas,BLK,552,0
SOC,Vans,WHT,231,1
ESP,New Balance,BLK,379,0
FAS,New Balance,NEU,204,0
ESP,Vans,COL,106,1
