tenis_marca,tenis_estilo,tenis_cores,tenis_preco,label
Marca_0,Estilo_0,Cor_0,50.0,1
Marca_1,Estilo_1,Cor_1,51.5,0
Marca_2,Estilo_2,Cor_2,53.0,1
Marca_3,Estilo_3,Cor_0,54.5,0
Marca_4,Estilo_4,Cor_1,56.0,1
Marca_5,Estilo_0,Cor_2,57.5,0
Marca_6,Estilo_1,Cor_0,59.0,1
Marca_7,Estilo_2,Cor_1,60.5,0
Marca_8,Estilo_3,Cor_2,62.0,1
Marca_9,Estilo_4,Cor_0,63.5,0
Marca_10,Estilo_0,Cor_1,65.0,1
Marca_11,Estilo_1,Cor_2,66.5,0
Marca_12,Estilo_2,Cor_0,68.0,1
Marca_13,Estilo_3,Cor_1,69.5,0
Marca_14,Estilo_4,Cor_2,71.0,1
Marca_15,Estilo_0,Cor_0,72.5,0
Marca_16,Estilo_1,Cor_1,74.0,1
Marca_17,Estilo_2,Cor_2,75.5,0
Marca_18,Estilo_3,Cor_0,77.0,1
Marca_19,Estilo_4,Cor_1,78.5,0
Marca_20,Estilo_0,Cor_2,80.0,1
Marca_21,Estilo_1,Cor_0,81.5,0
Marca_22,Estilo_2,Cor_1,83.0,1
Marca_23,Estilo_3,Cor_2,84.5,0
Marca_24,Estilo_4,Cor_0,86.0,1
Marca_25,Estilo_0,Cor_1,87.5,0
Marca_26,Estilo_1,Cor_2,89.0,1
Marca_27,Estilo_2,Cor_0,90.5,0
Marca_28,Estilo_3,Cor_1,92.0,1
Marca_29,Estilo_4,Cor_2,93.5,0
Marca_30,Estilo_0,Cor_0,95.0,1
Marca_31,Estilo_1,Cor_1,96.5,0
Marca_32,Estilo_2,Cor_2,98.0,1
Marca_33,Estilo_3,Cor_0,99.5,0
Marca_34,Estilo_4,Cor_1,101.0,1
Marca_35,Estilo_0,Cor_2,102.5,0
Marca_36,Estilo_1,Cor_0,104.0,1
Marca_37,Estilo_2,Cor_1,105.5,0
Marca_38,Estilo_3,Cor_2,107.0,1
Marca_39,Estilo_4,Cor_0,108.5,0
Marca_40,Estilo_0,Cor_1,110.0,1
Marca_41,Estilo_1,Cor_2,111.5,0
Marca_42,Estilo_2,Cor_0,113.0,1
Marca_43,Estilo_3,Cor_1,114.5,0
Marca_44,Estilo_4,Cor_2,116.0,1
Marca_45,Estilo_0,Cor_0,117.5,0
Marca_46,Estilo_1,Cor_1,119.0,1
Marca_47,Estilo_2,Cor_2,120.5,0
Marca_48,Estilo_3,Cor_0,122.0,1
Marca_49,Estilo_4,Cor_1,123.5,0
Marca_50,Estilo_0,Cor_2,125.0,1
Marca_51,Estilo_1,Cor_0,126.5,0
Marca_52,Estilo_2,Cor_1,128.0,1
Marca_53,Estilo_3,Cor_2,129.5,0
Marca_54,Estilo_4,Cor_0,131.0,1
Marca_55,Estilo_0,Cor_1,132.5,0
Marca_56,Estilo_1,Cor_2,134.0,1
Marca_57,Estilo_2,Cor_0,135.5,0
Marca_58,Estilo_3,Cor_1,137.0,1
Marca_59,Estilo_4,Cor_2,138.5,0
Marca_60,Estilo_0,Cor_0,140.0,1
Marca_61,Estilo_1,Cor_1,141.5,0
Marca_62,Estilo_2,Cor_2,143.0,1
Marca_63,Estilo_3,Cor_0,144.5,0
Marca_64,Estilo_4,Cor_1,146.0,1
Marca_65,Estilo_0,Cor_2,147.5,0
Marca_66,Estilo_1,Cor_0,149.0,1
Marca_67,Estilo_2,Cor_1,150.5,0
Marca_68,Estilo_3,Cor_2,152.0,1
Marca_69,Estilo_4,Cor_0,153.5,0
Marca_70,Estilo_0,Cor_1,155.0,1
Marca_71,Estilo_1,Cor_2,156.5,0
Marca_72,Estilo_2,Cor_0,158.0,1
Marca_73,Estilo_3,Cor_1,159.5,0
Marca_74,Estilo_4,Cor_2,161.0,1
Marca_75,Estilo_0,Cor_0,162.5,0
Marca_76,Estilo_1,Cor_1,164.0,1
Marca_77,Estilo_2,Cor_2,165.5,0
Marca_78,Estilo_3,Cor_0,167.0,1
Marca_79,Estilo_4,Cor_1,168.5,0
Marca_80,Estilo_0,Cor_2,170.0,1
Marca_81,Estilo_1,Cor_0,171.5,0
Marca_82,Estilo_2,Cor_1,173.0,1
Marca_83,Estilo_3,Cor_2,174.5,0
Marca_84,Estilo_4,Cor_0,176.0,1
Marca_85,Estilo_0,Cor_1,177.5,0
Marca_86,Estilo_1,Cor_2,179.0,1
Marca_87,Estilo_2,Cor_0,180.5,0
Marca_88,Estilo_3,Cor_1,182.0,1
Marca_89,Estilo_4,Cor_2,183.5,0
Marca_90,Estilo_0,Cor_0,185.0,1
Marca_91,Estilo_1,Cor_1,186.5,0
Marca_92,Estilo_2,Cor_2,188.0,1
Marca_93,Estilo_3,Cor_0,189.5,0
Marca_94,Estilo_4,Cor_1,191.0,1
Marca_95,Estilo_0,Cor_2,192.5,0
Marca_96,Estilo_1,Cor_0,194.0,1
